scope,server,iter,pabot_rc,wall_time_s,tests_passed,acquire_count,release_test_count,release_suite_count,shutdown_all_count,acquire_failed_count,shutdown_median_ms,shutdown_p95_ms,shutdown_max_ms,process_lifetime_median_ms,process_lifetime_p95_ms,leaks_after,killed_by_timeout_count
suite,rf_mcp_substitute,4,252,1.95,0,2,0,1,0,0,1.160,1.160,1.160,10.736,10.736,0,0
suite,slow_server,5,252,2.38,0,0,0,0,0,0,?,?,?,?,?,0,0
test,echo_server,1,252,3.15,0,1,1,0,0,0,2.590,2.590,2.590,6.848,6.848,0,0
suite,rf_mcp_substitute,5,252,2.48,0,0,0,0,0,0,?,?,?,?,?,0,0
process,echo_server,1,252,1.87,0,0,0,0,0,0,?,?,?,?,?,0,0
test,echo_server,2,252,3.76,0,0,0,0,0,0,?,?,?,?,?,0,0
suite,slow_server,1,252,2.94,0,9,5,1,0,0,4.854,9.254,9.254,9.457,33.113,0,0
process,echo_server,2,0,3.30,0,0,0,0,0,0,?,?,?,?,?,0,0
suite,slow_server,2,252,1.41,0,0,0,0,0,0,?,?,?,?,?,0,0
process,echo_server,3,252,2.64,16,0,0,0,0,0,?,?,?,?,?,0,0
test,echo_server,3,0,3.62,16,17,1,0,4,0,1.203,3.297,3.297,13.745,25.687,0,0
suite,slow_server,3,252,2.34,0,0,0,0,0,0,?,?,?,?,?,0,0
process,echo_server,4,252,2.85,0,24,8,0,4,0,2.660,4.525,9.337,7.476,36.745,0,0
test,echo_server,4,252,3.49,1,17,1,4,0,0,1.189,1.227,1.227,10.703,15.371,0,0
suite,slow_server,4,252,2.91,0,0,0,0,0,0,?,?,?,?,?,0,0
process,echo_server,5,252,1.98,0,0,0,0,0,0,?,?,?,?,?,0,0
suite,slow_server,5,252,2.27,0,0,0,0,0,0,?,?,?,?,?,0,0
test,echo_server,5,252,2.94,0,0,0,0,0,0,?,?,?,?,?,0,0
process,rf_mcp_substitute,1,252,1.77,0,0,0,0,0,0,?,?,?,?,?,0,0
process,echo_server,1,252,2.56,6,12,12,0,0,0,2.640,7.204,9.850,6.489,10.005,0,0
process,rf_mcp_substitute,2,252,2.78,0,0,0,0,0,0,?,?,?,?,?,0,0
test,rf_mcp_substitute,1,252,3.54,0,0,0,0,0,0,?,?,?,?,?,0,0
process,echo_server,2,252,1.82,0,0,0,0,0,0,?,?,?,?,?,0,0
process,rf_mcp_substitute,3,252,1.36,0,3,3,0,0,0,1.477,3.390,3.390,7.454,10.380,0,0
process,echo_server,3,255,1.15,0,6,6,0,0,0,1.222,3.588,3.588,6.001,9.219,0,0
test,rf_mcp_substitute,2,252,2.96,0,0,0,0,0,0,?,?,?,?,?,0,0
process,rf_mcp_substitute,4,252,1.94,0,0,0,0,0,0,?,?,?,?,?,0,0
process,echo_server,4,252,2.12,0,1,1,0,0,0,2.526,2.526,2.526,5.234,5.234,0,0
test,rf_mcp_substitute,3,252,3.18,0,3,3,0,0,0,1.271,7.818,7.818,6.417,13.295,0,0
process,rf_mcp_substitute,5,252,2.16,0,0,0,0,0,0,?,?,?,?,?,0,0
process,echo_server,5,252,2.09,0,0,0,0,0,0,?,?,?,?,?,0,0
